"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Strix occidentalis lucida","Mexican spotted owl","Wherever found","2","Threatened","Birds"
"Charadrius melodus","Piping Plover","[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)","3","Endangered","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Charadrius nivosus nivosus","Western snowy plover","Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)","8","Threatened","Birds"
"Ammodramus savannarum floridanus","Florida grasshopper sparrow","Wherever found","4","Endangered","Birds"
"Sterna dougallii dougallii","Roseate tern","Northeast U.S. nesting population","5","Endangered","Birds"
"Sterna dougallii dougallii","Roseate tern","Western Hemisphere except NE U.S.","4","Threatened","Birds"
"Pipilo crissalis eremophilus","Inyo California towhee","Wherever found","8","Threatened","Birds"
"Dendroica chrysoparia","Golden-cheeked warbler (=wood)","Wherever found","2","Endangered","Birds"
"Aphelocoma coerulescens","Florida scrub-jay","Wherever found","4","Threatened","Birds"
"Corvus leucognaphalus","White-necked crow","Wherever found","4","Endangered","Birds"
"Strix occidentalis caurina","Northern spotted owl","Wherever found","1","Threatened","Birds"
"Brachyramphus marmoratus","Marbled murrelet","U.S.A. (CA, OR, WA)","1","Threatened","Birds"
"Polioptila californica californica","Coastal California gnatcatcher","Wherever found","8","Threatened","Birds"
"Somateria fischeri","Spectacled eider","Wherever found","7","Threatened","Birds"
"Polysticta stelleri","Steller's Eider","AK breeding pop.","7","Threatened","Birds"
"Aerodramus vanikorensis bartschi","Mariana gray swiftlet","Wherever found","1","Endangered","Birds"
"Empidonax traillii extimus","Southwestern willow flycatcher","Wherever found","2","Endangered","Birds"
"Chasiempis ibidis","Oahu elepaio","Wherever found","1","Endangered","Birds"
"Rostrhamus sociabilis plumbeus","Everglade snail kite","Wherever found","4","Endangered","Birds"
"Acrocephalus luscinia","Nightingale reed warbler (old world warbler)","Wherever found","1","Endangered","Birds"
"Zosterops rotensis","Rota bridled White-eye","Wherever found","1","Endangered","Birds"
"Gymnogyps californianus","California condor","U.S.A. (specific portions of Arizona, Nevada, and Utah)","8","Experimental Population, Non-Essential","Birds"
"Oceanodroma castro","Band-rumped storm-petrel","USA (HI)","1","Endangered","Birds"
"Centrocercus minimus","Gunnison sage-grouse","Wherever found","6","Threatened","Birds"
"Oreomystis bairdi","Akikiki","Wherever found","1","Endangered","Birds"
"Setophaga angelae","Elfin-woods warbler","Wherever found","4","Threatened","Birds"
"Eremophila alpestris strigata","Streaked Horned lark","Wherever found","1","Threatened","Birds"
"Grus americana","Whooping crane","U.S.A. (CO, ID, FL, NM, UT, and the western half of Wyoming)","4","Experimental Population, Non-Essential","Birds"
"Rallus owstoni","Guam rail","Rota","1","Experimental Population, Non-Essential","Birds"
"Gallicolumba stairi","Friendly Ground-Dove","American Samoa DPS","1","Endangered","Birds"
"Rhynchopsitta pachyrhyncha","Thick-billed parrot","Wherever found","2","Endangered","Birds"
"Loxops caeruleirostris","Akekee","Wherever found","1","Endangered","Birds"
"Coccyzus americanus","Yellow-billed Cuckoo","Western U.S. DPS","2","Threatened","Birds"
"Grus americana","Whooping crane","U.S.A. (AL, AR, CO, FL, GA, ID, IL, IN, IA, KY, LA, MI, MN, MS, MO, NC, NM, OH, SC, TN, UT, VA, WI, WV, western half of WY)","2","Experimental Population, Non-Essential","Birds"
"Calidris canutus rufa","Red knot","Wherever found","5","Threatened","Birds"
"Falco femoralis septentrionalis","Northern Aplomado Falcon","U.S.A (AZ, NM)","2","Experimental Population, Non-Essential","Birds"
"Drepanis coccinea","`I`iwi","Wherever found","1","Threatened","Birds"
"Grus americana","Whooping crane","U.S.A (Southwestern Louisiana)","4","Experimental Population, Non-Essential","Birds"
"Gymnomyza samoensis","Mao (= maomao) (honeyeater)","Wherever found","1","Endangered","Birds"
"Laterallus jamaicensis ssp. jamaicensis","Eastern Black rail","Wherever found","4","Threatened","Birds"
"Hemignathus affinis","Maui nukupuu","Wherever found","1","Endangered","Birds"
"Gymnogyps californianus","California condor","Pacific Northwest NEP","8","Experimental Population, Non-Essential","Birds"
